date,title,amount
2026-09-04,Ifd*Ifood Club,"5,95"
2026-08-31,Tidal Hifi Global Br T,"22,80"
2026-08-31,Amorangueria,"39,98"
2026-08-29,99food *Soru Sushi Res,"59,78"
2026-08-27,99food *Soru Sushi Res,"70,35"
2026-08-25,Restauranteduetto,"28,25"
2026-08-23,99food *Dogao Central,"66,74"
2026-08-21,Restauranteduetto,"25,91"
2026-08-21,Sympla *Symplahalc,"44,88"
2026-08-20,Ec *Clubelivelo,"44,90"
2026-08-18,Brasa D Oro Frango Atr,"39,85"
2026-08-16,Mep*Mineirada,"7,90"
2026-08-16,Sanduteca,"117,00"
2026-08-16,Grendene Sa Filial - Parcela 1/4,"75,02"
2026-08-16,Vbb Comercio de Alime,"48,00"
2026-08-15,Uber - NuPay,"36,95"
2026-08-15,Cinemark Brasil,"40,90"
2026-08-14,Uber - NuPay,"14,97"
2026-08-12,Parcelamento de Fatura (12/Agosto),"- 2.002,36"
2026-08-12,Parcelamento de Fatura (12/Agosto) - 1/3,"841,12"
2026-08-11,Lanch Papa Paulo Vi,"4,50"
2026-08-11,Microsoft*Microsoft,"60,00"
2026-08-11,Amazonprimebr,"19,90"
2026-08-10,Pagamento recebido,"- 1.200,00"
2026-08-09,Comendoporcampinas,"19,90"
2026-08-07,Ebn*Canva0496,"35,00"
2026-08-05,App *Lojathecrea - Parcela 2/3,"47,85"
2026-08-05,Amazonmktplc*Lucasapar - Parcela 4/11,"62,63"
2026-08-05,Mp *Samsung - Parcela 6/12,"490,63"
2026-08-05,App *Planilhabreno - Parcela 7/12,"24,90"
2026-08-05,Asa*Psicodoc Desenvolv - Parcela 10/12,"77,94"
2026-08-05,Ifd*Ifood Club,"5,95"
2026-08-05,Centro Campinense - Parcela 2/6,"108,33"
2026-08-05,Carrefour Campinas Dom - Parcela 2/3,"99,99"
2026-08-05,Drogasil1149 - Parcela 2/3,"83,99"
2026-08-05,Google One,"24,99"
2026-08-05,Vivara Lojavivara-7408 - Parcela 3/4,"152,50"
2026-08-05,00045 Lj Campinas Cen - Parcela 2/3,"86,60"
2026-08-05,Amazonmktplc*Prmcomerc - Parcela 2/2,"79,00"
